location,farm_mw,month,eff_with_cleaning_pct,eff_without_cleaning_pct,efficiency_recovered_pct,kwh_recovered,rm_recovered,carbon_tonnes_avoided,carbon_value_rm
gcc,5,Jan,96,98,-2,-17642,-7410,-10.32,-413
gcc,5,Feb,88,91,-3,-26462,-11114,-15.481,-619
gcc,5,Mar,96,84,12,105850,44457,61.922,2477
gcc,5,Apr,88,77,11,97029,40752,56.762,2270
gcc,5,May,96,70,26,229342,96323,134.165,5367
gcc,5,Jun,88,65,23,202879,85209,118.684,4747
gcc,5,Jul,96,65,31,273446,114847,159.966,6399
gcc,5,Aug,88,65,23,202879,85209,118.684,4747
gcc,5,Sep,96,65,31,273446,114847,159.966,6399
gcc,5,Oct,88,65,23,202879,85209,118.684,4747
gcc,5,Nov,96,65,31,273446,114847,159.966,6399
gcc,5,Dec,88,65,23,202879,85209,118.684,4747
