timestamp,array_id,irradiance_kwh_m2,temp_c,humidity_pct,cloud_cover_pct,rainfall_mm,actual_output_kwh,expected_output_kwh,efficiency_pct,soiling_loss_pct,dust_flag,rain_event
2024-07-01 07:00:00,A1,0.0,27.94,71.16,22.32,0.0,0.0,0.0,96.4441,0.0,0,False
2024-07-01 08:00:00,A1,0.4081,30.61,84.16,5.41,0.0,793.11,795.89,97.1595,0.0,0,False
2024-07-01 09:00:00,A1,1.4767,28.1,76.08,15.5,0.0,2856.2,2879.55,96.7096,0.0,0,False
2024-07-01 10:00:00,A1,2.7975,44.59,75.82,17.24,0.0,5412.42,5455.09,96.7374,0.0,0,False
2024-07-01 11:00:00,A1,3.866,44.2,79.12,20.7,0.0,7483.54,7538.75,96.786,0.0,0,False
2024-07-01 12:00:00,A1,4.2742,43.2,80.28,16.85,0.0,8260.16,8334.64,96.6288,0.0,0,False
2024-07-01 13:00:00,A1,3.866,43.02,71.3,23.98,0.0,7504.81,7538.75,97.0611,0.0,0,False
2024-07-01 14:00:00,A1,2.7975,47.79,86.17,11.09,0.0,5412.7,5455.09,96.7423,0.0,0,False
2024-07-01 15:00:00,A1,1.4767,29.64,72.44,14.9,0.0,2869.08,2879.55,97.1455,0.0,0,False
2024-07-01 16:00:00,A1,0.4081,27.21,88.19,10.18,0.0,789.21,795.89,96.6822,0.0,0,False
2024-07-01 17:00:00,A1,0.0,30.12,80.93,8.7,0.0,0.0,0.0,96.3674,0.0,0,False
2024-07-01 18:00:00,A1,0.4081,32.82,85.5,23.79,0.0,796.26,795.89,97.546,0.0,0,False
2024-07-01 19:00:00,A1,1.4767,32.53,71.77,8.92,0.0,2868.01,2879.55,97.1093,0.0,0,False
2024-07-01 07:00:00,A2,0.0,27.27,76.51,12.77,0.0,0.0,0.0,94.4409,3.0,1,False
2024-07-01 08:00:00,A2,0.4081,29.14,75.62,15.85,0.0,770.47,795.89,94.3869,3.0,1,False
2024-07-01 09:00:00,A2,1.4767,27.85,86.04,6.49,0.0,2768.23,2879.55,93.7309,3.0,1,False
2024-07-01 10:00:00,A2,2.7975,46.37,85.43,6.48,0.0,5275.55,5455.09,94.2911,3.0,1,False
2024-07-01 11:00:00,A2,3.866,44.15,72.32,22.26,0.0,7302.45,7538.75,94.4439,3.0,1,False
2024-07-01 12:00:00,A2,4.2742,42.38,76.22,11.5,0.0,7970.98,8334.64,93.2459,3.0,1,False
2024-07-01 13:00:00,A2,3.866,46.38,82.75,22.74,0.0,7310.64,7538.75,94.5498,3.0,1,False
2024-07-01 14:00:00,A2,2.7975,46.28,85.22,16.23,0.0,5230.23,5455.09,93.4811,3.0,1,False
2024-07-01 15:00:00,A2,1.4767,31.63,79.88,15.45,0.0,2775.06,2879.55,93.9621,3.0,1,False
2024-07-01 16:00:00,A2,0.4081,27.65,70.63,17.73,0.0,765.69,795.89,93.8007,3.0,1,False
2024-07-01 17:00:00,A2,0.0,28.89,80.17,23.15,0.0,0.0,0.0,93.9696,3.0,1,False
2024-07-01 18:00:00,A2,0.4081,31.53,74.58,6.54,0.0,765.14,795.89,93.7328,3.0,1,False
2024-07-01 19:00:00,A2,1.4767,28.74,73.22,23.59,0.0,2754.1,2879.55,93.2525,3.0,1,False
2024-07-01 07:00:00,B1,0.0,32.23,86.07,8.73,0.0,0.0,0.0,96.2507,1.0,0,False
2024-07-01 08:00:00,B1,0.4081,32.36,80.79,21.15,0.0,788.37,795.89,96.5791,1.0,0,False
2024-07-01 09:00:00,B1,1.4767,27.66,74.56,13.54,0.0,2830.68,2879.55,95.8454,1.0,0,False
2024-07-01 10:00:00,B1,2.7975,46.91,87.21,5.14,0.0,5390.0,5455.09,96.3366,1.0,0,False
2024-07-01 11:00:00,B1,3.866,43.33,72.4,11.75,0.0,7320.12,7538.75,94.6724,1.0,1,False
2024-07-01 12:00:00,B1,4.2742,47.66,76.46,15.38,0.0,8221.18,8334.64,96.1728,1.0,0,False
2024-07-01 13:00:00,B1,3.866,47.83,89.25,10.04,0.0,7386.31,7538.75,95.5285,1.0,0,False
2024-07-01 14:00:00,B1,2.7975,44.98,76.02,10.7,0.0,5410.44,5455.09,96.702,1.0,0,False
2024-07-01 15:00:00,B1,1.4767,30.02,71.03,10.57,0.0,2836.76,2879.55,96.0512,1.0,0,False
2024-07-01 16:00:00,B1,0.4081,32.45,74.79,7.9,0.0,781.88,795.89,95.7837,1.0,0,False
2024-07-01 17:00:00,B1,0.0,28.45,83.44,20.23,0.0,0.0,0.0,96.1699,1.0,0,False
2024-07-01 18:00:00,B1,0.4081,28.43,84.56,12.36,0.0,783.61,795.89,95.9963,1.0,0,False
2024-07-01 19:00:00,B1,1.4767,30.21,71.81,21.71,0.0,2856.0,2879.55,96.7026,1.0,0,False
2024-07-01 07:00:00,B2,0.0,28.92,73.73,5.82,0.0,0.0,0.0,91.6962,6.0,1,False
2024-07-01 08:00:00,B2,0.4081,27.1,80.24,9.53,0.0,749.79,795.89,91.8533,6.0,1,False
2024-07-01 09:00:00,B2,1.4767,30.87,73.49,18.82,0.0,2700.48,2879.55,91.4368,6.0,1,False
2024-07-01 10:00:00,B2,2.7975,42.83,76.82,7.27,0.0,5108.78,5455.09,91.3103,6.0,1,False
2024-07-01 11:00:00,B2,3.866,47.55,87.55,10.16,0.0,7029.94,7538.75,90.9195,6.0,1,False
2024-07-01 12:00:00,B2,4.2742,45.33,80.59,9.84,0.0,7823.61,8334.64,91.5219,6.0,1,False
2024-07-01 13:00:00,B2,3.866,42.56,87.94,23.01,0.0,7056.52,7538.75,91.2632,6.0,1,False
2024-07-01 14:00:00,B2,2.7975,44.1,84.52,22.94,0.0,5051.13,5455.09,90.28,6.0,1,False
2024-07-01 15:00:00,B2,1.4767,32.32,85.6,17.84,0.0,2705.16,2879.55,91.5954,6.0,1,False
2024-07-01 16:00:00,B2,0.4081,27.06,72.03,18.27,0.0,743.75,795.89,91.1131,6.0,1,False
2024-07-01 17:00:00,B2,0.0,27.03,73.22,15.97,0.0,0.0,0.0,91.4237,6.0,1,False
2024-07-01 18:00:00,B2,0.4081,28.35,84.24,9.74,0.0,747.11,795.89,91.5247,6.0,1,False
2024-07-01 19:00:00,B2,1.4767,28.95,84.93,17.99,0.0,2707.14,2879.55,91.6626,6.0,1,False
2024-07-01 07:00:00,C1,0.0,30.41,71.87,12.35,0.0,0.0,0.0,95.2122,2.0,0,False
2024-07-01 08:00:00,C1,0.4081,28.59,74.88,24.46,0.0,779.32,795.89,95.4703,2.0,0,False
2024-07-01 09:00:00,C1,1.4767,30.79,85.9,15.05,0.0,2818.69,2879.55,95.4393,2.0,0,False
2024-07-01 10:00:00,C1,2.7975,45.46,79.85,8.9,0.0,5308.51,5455.09,94.8802,2.0,1,False
2024-07-01 11:00:00,C1,3.866,42.15,82.91,8.54,0.0,7308.22,7538.75,94.5185,2.0,1,False
2024-07-01 12:00:00,C1,4.2742,47.64,89.08,23.3,0.0,8162.69,8334.64,95.4886,2.0,0,False
2024-07-01 13:00:00,C1,3.866,47.8,89.27,22.06,0.0,7340.65,7538.75,94.9379,2.0,1,False
2024-07-01 14:00:00,C1,2.7975,43.77,77.7,22.02,0.0,5335.93,5455.09,95.3702,2.0,0,False
2024-07-01 15:00:00,C1,1.4767,30.34,88.72,18.92,0.0,2792.04,2879.55,94.537,2.0,1,False
