location,farm_mw,month,eff_with_cleaning_pct,eff_without_cleaning_pct,efficiency_recovered_pct,kwh_recovered,rm_recovered,carbon_tonnes_avoided,carbon_value_rm
gcc,20,Jan,96,98,-2,-70567,-29638,-41.282,-1651
gcc,20,Feb,88,91,-3,-105850,-44457,-61.922,-2477
gcc,20,Mar,96,84,12,423400,177828,247.689,9908
gcc,20,Apr,88,77,11,388117,163009,227.048,9082
gcc,20,May,96,70,26,917367,385294,536.659,21466
gcc,20,Jun,88,65,23,811517,340837,474.737,18989
gcc,20,Jul,96,65,31,1093783,459389,639.863,25595
gcc,20,Aug,88,65,23,811517,340837,474.737,18989
gcc,20,Sep,96,65,31,1093783,459389,639.863,25595
gcc,20,Oct,88,65,23,811517,340837,474.737,18989
gcc,20,Nov,96,65,31,1093783,459389,639.863,25595
gcc,20,Dec,88,65,23,811517,340837,474.737,18989
